time,high,low,close,open
2022-03-03 11:00:00+00:00:00,2934.67,2905.25,2915.28,2909.43
2022-03-03 12:00:00+00:00:00,2931.13,2906.18,2915.44,2915.28
2022-03-03 13:00:00+00:00:00,2930.12,2912.27,2928.47,2915.44
2022-03-03 14:00:00+00:00:00,2935.02,2883.89,2887.53,2928.47
2022-03-03 15:00:00+00:00:00,2890.11,2820.59,2829.73,2887.53
2022-03-03 16:00:00+00:00:00,2838.31,2812.73,2822.11,2829.73
2022-03-03 17:00:00+00:00:00,2829.29,2790.6,2822.42,2822.11
2022-03-03 18:00:00+00:00:00,2835.93,2812.02,2816.53,2822.42
2022-03-03 19:00:00+00:00:00,2822.87,2802.88,2816.43,2816.53
2022-03-03 20:00:00+00:00:00,2822.68,2796.45,2804.03,2816.43
2022-03-03 21:00:00+00:00:00,2814.26,2794.35,2805.9,2804.03
2022-03-03 22:00:00+00:00:00,2841.39,2804.54,2834.07,2805.9
2022-03-03 23:00:00+00:00:00,2849.15,2828.45,2833.71,2834.07
2022-03-04 00:00:00+00:00:00,2834.95,2740.96,2746.58,2833.71
2022-03-04 01:00:00+00:00:00,2747.47,2704.19,2734.52,2746.58
2022-03-04 02:00:00+00:00:00,2736.03,2721.06,2726.45,2734.52
2022-03-04 03:00:00+00:00:00,2729.03,2714.4,2725.56,2726.45
2022-03-04 04:00:00+00:00:00,2733.88,2711.68,2728.03,2725.56
2022-03-04 05:00:00+00:00:00,2732.53,2719,2725.4,2728.03
2022-03-04 06:00:00+00:00:00,2734.56,2720.13,2725.05,2725.4
2022-03-04 07:00:00+00:00:00,2730.35,2719.21,2729.19,2725.05
2022-03-04 08:00:00+00:00:00,2748.68,2707.57,2742.02,2729.19
2022-03-04 09:00:00+00:00:00,2747.94,2719.59,2728.73,2742.02
2022-03-04 10:00:00+00:00:00,2748.03,2727.54,2741.6,2728.73
2022-03-04 11:00:00+00:00:00,2757.58,2737.61,2750.98,2741.6
2022-03-04 12:00:00+00:00:00,2751.8,2722.95,2725.67,2750.98
2022-03-04 13:00:00+00:00:00,2747.78,2719.9,2723.36,2725.67
2022-03-04 14:00:00+00:00:00,2723.73,2681.83,2703.55,2723.36
2022-03-04 15:00:00+00:00:00,2710.73,2667.72,2673.4,2703.55
2022-03-04 16:00:00+00:00:00,2683.8,2653.99,2676.38,2673.4
2022-03-04 17:00:00+00:00:00,2696.5,2671.21,2690.81,2676.38
2022-03-04 18:00:00+00:00:00,2696.62,2672.37,2672.69,2690.81
2022-03-04 19:00:00+00:00:00,2674.5,2614,2616.35,2672.69
2022-03-04 20:00:00+00:00:00,2628.27,2601.42,2617.71,2616.35
2022-03-04 21:00:00+00:00:00,2626.72,2606.5,2609.12,2617.71
2022-03-04 22:00:00+00:00:00,2615.96,2577.66,2614.14,2609.12
2022-03-04 23:00:00+00:00:00,2624.23,2608.84,2622.51,2614.14
2022-03-05 00:00:00+00:00:00,2622.73,2598.26,2598.35,2622.51
2022-03-05 01:00:00+00:00:00,2617.83,2591.96,2612.64,2598.35
2022-03-05 02:00:00+00:00:00,2620.07,2608.55,2613.91,2612.64
2022-03-05 03:00:00+00:00:00,2630.23,2611.32,2626.66,2613.91
2022-03-05 04:00:00+00:00:00,2627.68,2613.34,2618.94,2626.66
2022-03-05 05:00:00+00:00:00,2627.66,2616.64,2624.78,2618.94
2022-03-05 06:00:00+00:00:00,2633.08,2623.41,2625.54,2624.78
2022-03-05 07:00:00+00:00:00,2641.89,2624.4,2637.74,2625.54
2022-03-05 08:00:00+00:00:00,2654.77,2633.81,2651.86,2637.74
2022-03-05 09:00:00+00:00:00,2658.11,2642.87,2649.65,2651.86
2022-03-05 10:00:00+00:00:00,2654.34,2635.9,2648.68,2649.65
2022-03-05 11:00:00+00:00:00,2656.75,2645.71,2650.67,2648.68
2022-03-05 12:00:00+00:00:00,2670.54,2648.92,2657.06,2650.67
2022-03-05 13:00:00+00:00:00,2657.09,2632.81,2636.42,2657.06
2022-03-05 14:00:00+00:00:00,2653.27,2629.01,2643.53,2636.42
2022-03-05 15:00:00+00:00:00,2651.43,2637.59,2643.57,2643.53
2022-03-05 16:00:00+00:00:00,2679.64,2640.98,2662.81,2643.57
2022-03-05 17:00:00+00:00:00,2674.1,2657.92,2670.21,2662.81
2022-03-05 18:00:00+00:00:00,2670.6,2657.06,2668.74,2670.21
2022-03-05 19:00:00+00:00:00,2674.98,2665.89,2671.03,2668.74
2022-03-05 20:00:00+00:00:00,2682.35,2666.76,2668.17,2671.03
2022-03-05 21:00:00+00:00:00,2669.73,2654.97,2655.7,2668.17
2022-03-05 22:00:00+00:00:00,2671.21,2652.14,2670.06,2655.7
2022-03-05 23:00:00+00:00:00,2670.37,2657.17,2666.18,2670.06
2022-03-06 00:00:00+00:00:00,2673.85,2663,2673.66,2666.18
2022-03-06 01:00:00+00:00:00,2675.13,2660.88,2661.08,2673.66
2022-03-06 02:00:00+00:00:00,2667.16,2655.23,2664.19,2661.08
2022-03-06 03:00:00+00:00:00,2666.1,2640.85,2641.08,2664.19
2022-03-06 04:00:00+00:00:00,2654.97,2619.75,2649.38,2641.08
2022-03-06 05:00:00+00:00:00,2655.78,2649.13,2651.22,2649.38
2022-03-06 06:00:00+00:00:00,2660.08,2645.05,2647.92,2651.22
2022-03-06 07:00:00+00:00:00,2650.03,2637.64,2646.49,2647.92
2022-03-06 08:00:00+00:00:00,2647.2,2634.66,2637.34,2646.49
2022-03-06 09:00:00+00:00:00,2638.61,2610.11,2611.09,2637.34
2022-03-06 10:00:00+00:00:00,2611.44,2593.11,2606.25,2611.09
2022-03-06 11:00:00+00:00:00,2608.81,2593.3,2608.38,2606.25
2022-03-06 12:00:00+00:00:00,2622.33,2606.17,2620.37,2608.38
2022-03-06 13:00:00+00:00:00,2646.63,2618.41,2639.48,2620.37
2022-03-06 14:00:00+00:00:00,2641.78,2622.67,2627.53,2639.48
2022-03-06 15:00:00+00:00:00,2629.78,2613.08,2627.9,2627.53
2022-03-06 16:00:00+00:00:00,2651.75,2623.05,2644.87,2627.9
2022-03-06 17:00:00+00:00:00,2648.24,2626.83,2631.74,2644.87
2022-03-06 18:00:00+00:00:00,2638.55,2619.19,2622.83,2631.74
2022-03-06 19:00:00+00:00:00,2627.97,2606.13,2608.56,2622.83
2022-03-06 20:00:00+00:00:00,2622.03,2606.35,2617.25,2608.56
2022-03-06 21:00:00+00:00:00,2638.32,2615.86,2627.31,2617.25
2022-03-06 22:00:00+00:00:00,2644.16,2627.31,2629.79,2627.31
2022-03-06 23:00:00+00:00:00,2632.61,2550.56,2552.58,2629.79
2022-03-07 00:00:00+00:00:00,2555.6,2521.19,2544.3,2552.58
2022-03-07 01:00:00+00:00:00,2558.59,2543.7,2548.33,2544.3
2022-03-07 02:00:00+00:00:00,2550.84,2511.15,2520.28,2548.33
2022-03-07 03:00:00+00:00:00,2530.02,2511.52,2528.32,2520.28
2022-03-07 04:00:00+00:00:00,2532.29,2522.13,2527.53,2528.32
2022-03-07 05:00:00+00:00:00,2542.63,2520.8,2533.86,2527.53
2022-03-07 06:00:00+00:00:00,2540.96,2529.47,2539.53,2533.86
2022-03-07 07:00:00+00:00:00,2542.39,2516.92,2522.09,2539.53
2022-03-07 08:00:00+00:00:00,2532.31,2506.68,2531.27,2522.09
2022-03-07 09:00:00+00:00:00,2544.6,2529.58,2531.88,2531.27
2022-03-07 10:00:00+00:00:00,2534.05,2521.67,2526.99,2531.88
2022-03-07 11:00:00+00:00:00,2542.88,2521.16,2542.38,2526.99
2022-03-07 12:00:00+00:00:00,2571.04,2541.41,2563.25,2542.38
2022-03-07 13:00:00+00:00:00,2624.7,2559.21,2622.45,2563.25
2022-03-07 14:00:00+00:00:00,2646.36,2615.01,2617.69,2622.45
2022-03-07 15:00:00+00:00:00,2621.05,2599.51,2618.1,2617.69
2022-03-07 16:00:00+00:00:00,2638.96,2597.05,2597.97,2618.1
2022-03-07 17:00:00+00:00:00,2598.08,2572.77,2574.74,2597.97
2022-03-07 18:00:00+00:00:00,2574.74,2517.39,2524.49,2574.74
2022-03-07 19:00:00+00:00:00,2528.51,2457.3,2464.23,2524.49
2022-03-07 20:00:00+00:00:00,2486.39,2450.51,2469.71,2464.23
2022-03-07 21:00:00+00:00:00,2504.98,2464.81,2485.59,2469.71
2022-03-07 22:00:00+00:00:00,2526.52,2482.8,2504.08,2485.59
2022-03-07 23:00:00+00:00:00,2526.47,2490.17,2496.67,2504.08
2022-03-08 00:00:00+00:00:00,2528.51,2486.41,2519.85,2496.67
2022-03-08 01:00:00+00:00:00,2546.27,2512.11,2528.4,2519.85
2022-03-08 02:00:00+00:00:00,2570.74,2517.77,2548.16,2528.4
2022-03-08 03:00:00+00:00:00,2553.29,2537.28,2550.5,2548.16
2022-03-08 04:00:00+00:00:00,2563.98,2540.36,2542.58,2550.5
2022-03-08 05:00:00+00:00:00,2546.41,2518.17,2526.95,2542.58
2022-03-08 06:00:00+00:00:00,2533.19,2498.6,2518.87,2526.95
2022-03-08 07:00:00+00:00:00,2544.82,2514.33,2537.23,2518.87
2022-03-08 08:00:00+00:00:00,2586.45,2532.07,2566.25,2537.23
2022-03-08 09:00:00+00:00:00,2590.91,2566.12,2584.07,2566.25
2022-03-08 10:00:00+00:00:00,2604.23,2568.81,2602.87,2584.07
2022-03-08 11:00:00+00:00:00,2603.19,2573.31,2590.03,2602.87
2022-03-08 12:00:00+00:00:00,2594.07,2568.25,2572.54,2590.03
2022-03-08 13:00:00+00:00:00,2592.35,2559.55,2585.85,2572.54
2022-03-08 14:00:00+00:00:00,2596.06,2571.55,2574.89,2585.85
2022-03-08 15:00:00+00:00:00,2579.87,2536.38,2561.57,2574.89
2022-03-08 16:00:00+00:00:00,2588.07,2531.76,2545.71,2561.57
2022-03-08 17:00:00+00:00:00,2602.4,2542.82,2594.18,2545.71
